model-1601899771,1601899773.186,9,0.79,0.1149,0.79,0.1804
model-1601899771,1601899773.208,9,0.64,0.1636,0.79,0.1774
model-1601899771,1601899773.231,9,0.64,0.1849,0.79,0.1794
model-1601899771,1601899773.254,10,0.57,0.2348,0.79,0.184
model-1601899771,1601899773.271,10,0.71,0.1708,0.71,0.1862
model-1601899771,1601899773.287,10,1.0,0.0865,0.71,0.179
model-1601899771,1601899773.304,10,0.86,0.1132,0.71,0.1832
model-1601899771,1601899773.321,10,0.71,0.1502,0.71,0.1834
model-1601899771,1601899773.337,10,0.86,0.0808,0.71,0.1838
model-1601899771,1601899773.356,10,0.79,0.0975,0.71,0.185
model-1601899771,1601899773.373,10,0.86,0.108,0.71,0.1837
model-1601899771,1601899773.39,10,0.79,0.1009,0.71,0.1852
model-1601899771,1601899773.413,10,0.64,0.1438,0.79,0.1897
model-1601899771,1601899773.436,10,0.79,0.1467,0.71,0.1945
model-1601899771,1601899773.463,11,0.57,0.2455,0.71,0.1954
model-1601899771,1601899773.49,11,0.71,0.1808,0.71,0.1913
model-1601899771,1601899773.513,11,1.0,0.0779,0.79,0.187
model-1601899771,1601899773.538,11,0.93,0.094,0.71,0.185
model-1601899771,1601899773.557,11,0.79,0.1217,0.79,0.1847
model-1601899771,1601899773.579,11,1.0,0.051,0.79,0.1913
model-1601899771,1601899773.598,11,0.93,0.0634,0.79,0.1896
model-1601899771,1601899773.617,11,0.93,0.083,0.79,0.1895
model-1601899771,1601899773.634,11,0.86,0.0843,0.79,0.1928
model-1601899771,1601899773.65,11,0.93,0.1064,0.71,0.1998
model-1601899771,1601899773.667,11,1.0,0.0832,0.64,0.209
model-1601899771,1601899773.687,12,0.64,0.2149,0.64,0.2089
model-1601899771,1601899773.704,12,0.79,0.1529,0.71,0.1998
model-1601899771,1601899773.721,12,0.93,0.0499,0.71,0.1976
model-1601899771,1601899773.738,12,0.93,0.0898,0.57,0.2081
model-1601899771,1601899773.755,12,0.93,0.0957,0.64,0.2111
model-1601899771,1601899773.771,12,1.0,0.0245,0.57,0.2158
model-1601899771,1601899773.789,12,1.0,0.0461,0.57,0.2219
model-1601899771,1601899773.806,12,0.93,0.0928,0.64,0.2166
model-1601899771,1601899773.821,12,0.93,0.0684,0.64,0.208
model-1601899771,1601899773.838,12,0.93,0.07,0.64,0.1985
model-1601899771,1601899773.854,12,1.0,0.0508,0.64,0.1983
model-1601899771,1601899773.878,13,0.79,0.1336,0.71,0.1904
model-1601899771,1601899773.895,13,0.93,0.0962,0.71,0.1968
model-1601899771,1601899773.911,13,0.86,0.058,0.71,0.197
model-1601899771,1601899773.928,13,0.86,0.0583,0.71,0.1988
model-1601899771,1601899773.944,13,1.0,0.0469,0.57,0.2232
model-1601899771,1601899773.961,13,1.0,0.0109,0.57,0.246
model-1601899771,1601899773.979,13,1.0,0.0293,0.57,0.2566
model-1601899771,1601899773.995,13,0.93,0.0881,0.57,0.2508
model-1601899771,1601899774.012,13,0.93,0.073,0.57,0.2387
model-1601899771,1601899774.028,13,0.93,0.045,0.79,0.212
model-1601899771,1601899774.044,13,1.0,0.0076,0.79,0.2008
model-1601899771,1601899774.065,14,0.86,0.0732,0.71,0.2247
model-1601899771,1601899774.082,14,0.93,0.0792,0.71,0.24
model-1601899771,1601899774.098,14,0.86,0.0989,0.71,0.2611
model-1601899771,1601899774.115,14,0.71,0.1347,0.71,0.2215
